,Division,FighterID,Name,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
0,Наилегчайший вес,672722,Александр Пантожа,https://ufc.ru/athlete/aleksandr-pantoya,33.0,165.1,56.68,6.0,170.18,92.71,48.0,4.41,3.81,1.75,52.0,67.0,26.0,5.0,0.0,8.0
1,Легчайший вес,964516,Шон О'Мэлли,https://ufc.ru/athlete/shon-omelli,28.0,180.34,61.22,6.0,182.88,101.6,61.0,7.25,3.51,0.43,62.0,63.0,17.0,1.0,0.0,12.0
2,Полулегкий вес,138472,Александр Волкановски,https://ufc.ru/athlete/aleksandr-volkanovski,34.0,167.64,65.53,7.0,181.61,91.44,57.0,6.25,3.36,1.86,59.0,69.0,26.0,2.0,0.0,13.0
3,Легкий вес,606125,Ислам Махачев,https://ufc.ru/athlete/islam-makhachev,31.0,177.8,70.29,8.0,179.07,102.87,59.0,2.35,1.27,3.24,62.0,91.0,24.0,1.0,0.0,4.0
4,Полусредний вес,475171,Леон Эдвардс,https://ufc.ru/athlete/leon-edvards,31.0,182.88,77.09,9.0,187.96,109.22,53.0,2.8,2.4,1.26,54.0,69.0,21.0,3.0,0.0,7.0
5,Средний вес,843182,Исраэль Адесанья,https://ufc.ru/athlete/israel-adesanya,33.0,193.04,83.67,5.0,203.2,113.03,50.0,3.94,2.88,0.06,58.0,78.0,24.0,2.0,0.0,16.0
6,Полутяжелый вес,866389,Джамал Хилл,https://ufc.ru/athlete/dzhamakhal-khill,32.0,193.04,92.74,3.0,200.66,110.49,55.0,7.31,3.35,0.0,48.0,73.0,12.0,1.0,0.0,7.0
7,Тяжелый вес,744579,Джон Джонс,https://ufc.ru/athlete/dzhon-dzhons,35.0,193.04,112.47,15.0,214.63,114.3,58.0,4.29,2.22,1.93,64.0,95.0,27.0,1.0,0.0,10.0
8,Женский минимальный вес,907894,Вейли Жанг,https://ufc.ru/athlete/veyli-zhang,34.0,162.56,52.15,5.0,160.02,91.44,52.0,5.94,3.44,2.29,54.0,67.0,24.0,3.0,0.0,11.0
9,Женский наилегчайший вес,268344,Алекса Грассо,https://ufc.ru/athlete/aleksa-grasso,29.0,165.1,56.46,7.0,167.64,95.25,43.0,4.88,4.07,0.38,59.0,61.0,16.0,3.0,0.0,4.0
10,Наилегчайший вес,467795,Брэндон Морено,https://ufc.ru/athlete/brendon-moreno,29.0,170.18,61.67,7.0,177.8,96.52,43.0,3.8,3.4,1.73,56.0,64.0,21.0,7.0,2.0,5.0
11,Наилегчайший вес,342304,Дейвесон Фигередо,https://ufc.ru/athlete/deyvezon-figeredo,35.0,165.1,56.68,6.0,172.72,96.52,55.0,3.09,3.5,1.44,51.0,57.0,21.0,3.0,1.0,9.0
12,Наилегчайший вес,478467,Амир Альбази,https://ufc.ru/athlete/amir-albazi,29.0,165.1,57.14,3.0,172.72,96.52,39.0,2.8,3.07,1.71,63.0,40.0,17.0,1.0,0.0,5.0
14,Наилегчайший вес,240940,Кай Кара Фрэнс,https://ufc.ru/athlete/kay-kara-frens,30.0,162.56,56.91,5.0,175.26,93.98,40.0,4.57,3.24,0.63,65.0,88.0,24.0,11.0,0.0,11.0
15,Наилегчайший вес,216217,Матеус Николау,https://ufc.ru/athlete/mateus-nikolau,30.0,167.64,57.14,8.0,167.64,96.52,54.0,3.66,3.14,1.48,67.0,93.0,19.0,4.0,1.0,5.0
16,Наилегчайший вес,810184,Алекс Перез,https://ufc.ru/athlete/aleks-perez,31.0,167.64,57.14,6.0,166.37,96.52,48.0,4.67,3.14,2.84,60.0,78.0,24.0,7.0,0.0,5.0
17,Наилегчайший вес,150268,Мэтт Шнелл,https://ufc.ru/athlete/mett-shnell,33.0,172.72,57.14,7.0,177.8,96.52,40.0,4.24,4.46,0.63,56.0,47.0,16.0,7.0,0.0,2.0
18,Наилегчайший вес,747652,Тим Эллиотт,https://ufc.ru/athlete/tim-eliott,36.0,170.18,57.14,11.0,167.64,96.52,44.0,3.47,2.76,3.88,57.0,60.0,20.0,12.0,1.0,3.0
19,Наилегчайший вес,923721,Манель Кейпе,https://ufc.ru/athlete/manel-keype,28.0,165.1,64.39,2.0,172.72,99.06,52.0,4.46,3.92,0.56,54.0,69.0,18.0,6.0,0.0,11.0
24,Наилегчайший вес,832682,Коди Дарден,https://ufc.ru/athlete/cody-durden,32.0,170.18,63.03,3.0,170.18,95.25,50.0,3.13,2.94,5.41,52.0,80.0,16.0,4.0,1.0,6.0
25,Легчайший вес,376519,Алджэмейн Стерлинг,https://ufc.ru/athlete/aldzhemeyn-sterling,34.0,170.18,61.22,9.0,180.34,99.06,52.0,4.73,2.41,1.97,58.0,45.0,23.0,4.0,0.0,3.0
26,Легчайший вес,763732,Мераб Двалишвили,https://ufc.ru/athlete/merb-dvalishvili,32.0,167.64,60.99,6.0,172.72,96.52,41.0,4.46,2.41,6.55,57.0,79.0,16.0,4.0,0.0,3.0
27,Легчайший вес,686234,Генри Сехудо,https://ufc.ru/athlete/genri-sekhudo,36.0,162.56,61.22,9.0,162.56,93.98,47.0,3.93,3.15,2.07,61.0,83.0,16.0,3.0,0.0,8.0
28,Легчайший вес,852222,Кори Сэндхаген,https://ufc.ru/athlete/kori-sendkhagen,31.0,180.34,66.66,5.0,177.8,101.6,44.0,5.33,3.4,1.36,58.0,64.0,17.0,4.0,0.0,7.0
29,Легчайший вес,266162,Петр Ян,https://ufc.ru/athlete/petr-yan,30.0,171.45,61.67,5.0,170.18,96.52,53.0,5.03,4.26,1.71,59.0,85.0,16.0,5.0,0.0,7.0
30,Легчайший вес,314001,Марлон Вера,https://ufc.ru/athlete/marlon-vera,30.0,172.72,61.67,9.0,179.07,102.87,51.0,4.37,5.16,0.58,52.0,70.0,21.0,8.0,1.0,8.0
31,Легчайший вес,253495,Сонг Ядонг,https://ufc.ru/athlete/song-yadong,25.0,172.72,61.67,6.0,170.18,96.52,42.0,4.61,3.77,0.53,59.0,73.0,20.0,7.0,1.0,9.0
32,Легчайший вес,731601,Роб Фонт,https://ufc.ru/athlete/rob-font,36.0,172.72,67.12,9.0,181.61,97.79,46.0,5.71,3.7,0.96,57.0,47.0,20.0,7.0,0.0,9.0
33,Легчайший вес,502154,Доминик Круз,https://ufc.ru/athlete/dominik-kruz,38.0,172.72,61.22,12.0,172.72,93.98,33.0,3.91,2.61,2.82,71.0,84.0,24.0,4.0,0.0,7.0
34,Легчайший вес,647137,Педро Муньоз,https://ufc.ru/athlete/pedro-munoz,36.0,167.64,61.67,9.0,163.83,92.71,44.0,5.45,6.14,0.47,56.0,82.0,20.0,8.0,0.0,5.0
35,Легчайший вес,372921,Умар Нурмагомедов,https://ufc.ru/athlete/umar-nurmagomedov,27.0,172.72,61.22,2.0,175.26,99.06,70.0,4.85,0.73,4.28,75.0,100.0,16.0,0.0,0.0,1.0
36,Легчайший вес,319133,Рики Симон,https://ufc.ru/athlete/riki-saymon,30.0,167.64,61.67,6.0,175.26,96.52,44.0,3.01,3.23,5.84,63.0,75.0,20.0,4.0,0.0,6.0
38,Легчайший вес,148852,Эдриен Янез,https://ufc.ru/athlete/edrien-yanez,29.0,170.18,61.45,3.0,177.8,96.52,41.0,6.75,5.89,0.0,59.0,100.0,16.0,4.0,0.0,10.0
40,Полулегкий вес,388087,Макс Холлоуэй,https://ufc.ru/athlete/maks-kholluey,31.0,180.34,73.56,11.0,175.26,106.68,48.0,7.17,4.75,0.27,60.0,84.0,25.0,7.0,0.0,11.0
41,Полулегкий вес,696920,Яир Родригез,https://ufc.ru/athlete/yair-rodrigez,30.0,180.34,70.61,9.0,180.34,105.41,46.0,4.63,4.07,0.73,52.0,59.0,16.0,4.0,0.0,6.0
42,Полулегкий вес,443616,Брайэн Ортега,https://ufc.ru/athlete/brian-ortega,32.0,172.72,66.21,9.0,175.26,99.06,39.0,4.19,6.66,0.95,50.0,56.0,15.0,3.0,0.0,3.0
43,Полулегкий вес,857500,Арнольд Аллен,https://ufc.ru/athlete/arnold-allen,29.0,172.72,66.21,8.0,177.8,99.06,41.0,3.34,2.86,1.12,62.0,76.0,19.0,2.0,0.0,7.0
44,Полулегкий вес,857000,Илия Топурия,https://ufc.ru/athlete/iliya-topuriya,26.0,170.18,74.37,3.0,175.26,93.98,46.0,4.44,3.05,2.19,67.0,93.0,14.0,0.0,0.0,4.0
45,Полулегкий вес,508325,Джош Эмметт,https://ufc.ru/athlete/dzhosh-emmet,38.0,168.91,72.56,7.0,177.8,100.33,36.0,4.07,4.66,0.92,61.0,47.0,18.0,4.0,0.0,6.0
46,Полулегкий вес,127410,Келвин Кэттер,https://ufc.ru/athlete/kelvin-kattar,35.0,180.34,66.21,6.0,182.88,101.6,40.0,5.12,7.1,0.42,55.0,91.0,23.0,7.0,0.0,11.0
